Date;FTSEMIB.MI;^AEX;^FCHI;^FTAS;^GDAXI;^GSPC;^IBEX;^N225;^OMX;^SSMI
2005-05-04;31266.0;351.179993;3987.6298829999996;2431.01001;4264.350098;1175.650024;9195.700195;;756.539978;6001.850098
2005-05-05;31435.0;354.77999900000003;4019.350098;2441.72998;4299.509765999999;1172.630005;9235.5;;756.539978;6001.850098
2005-05-06;31412.0;356.649994;4033.459961;2448.060059;4311.060059;1171.349976;9263.099609;11192.169922;766.25;6027.109863000001
2005-05-09;31345.0;355.929993;4020.1899409999996;2444.780029;4292.410156;1178.839966;9223.5;11171.320313;768.799988;6002.930176
2005-05-10;31036.0;354.040009;4000.25;2434.840088;4251.129883;1166.219971;9146.099609;11159.459961;765.450012;5917.549805
2005-05-11;31116.0;352.77999900000003;3979.530029;2427.050049;4244.160156;1171.109985;9149.900391;11120.700195;762.130005;5919.850098
2005-05-12;31337.0;354.920013;4015.649902;2437.699951;4267.049805;1159.359985;9213.099609;11077.94043;770.400024;5948.72998
2005-05-13;31373.0;355.51001;4017.889893;2434.26001;4275.700195;1154.050049;9222.5;11049.110352;775.200012;5943.029785
2005-05-16;31333.0;354.839996;4010.9799799999996;2433.679932;4262.180176;1165.689941;9217.700195;10947.219727;774.919983;5943.029785
2005-05-17;31060.0;355.350006;4006.1899409999996;2441.02002;4251.77002;1173.800049;9213.299805;10825.389648;776.080017;5945.109863000001
2005-05-18;31567.0;360.98999;4073.149902;2463.449951;4324.600098;1185.560059;9364.200195;10835.410156;781.659973;5996.939941
2005-05-19;31635.0;363.209991;4085.9799799999996;2472.76001;4360.419922;1191.079956;9400.099609;11077.160156;785.1099849999999;6017.839844
2005-05-20;31676.0;363.880005;4096.180176;2476.830078;4360.680176;1189.280029;9368.5;11037.290039;784.580017;6023.109863000001
2005-05-23;31583.0;366.070007;4118.370117;2486.909912;4406.950195;1193.859985;9397.0;11158.650391;784.340027;6038.629883
2005-05-24;31532.0;365.100006;4102.060059;2484.679932;4396.640136999999;1194.069946;9372.400391;11133.650391;784.6400150000001;6079.97998
2005-05-25;31564.0;366.040009;4100.27002;2481.139893;4389.540039;1190.01001;9351.299805;11014.429688;783.169983;6095.129883
2005-05-26;31765.0;368.26001;4137.279785;2494.639893;4436.600098;1197.619995;9417.900391;11027.94043;790.130005;6138.209961
2005-05-27;31703.0;366.940002;4131.830078;2492.01001;4444.709961;1198.780029;9381.5;11192.330078;790.719971;6160.75
2005-05-30;31878.0;368.420013;4134.870117;;4480.430176;;9466.799805;11266.330078;793.799988;6158.720215
2005-05-31;31739.0;364.679993;4120.72998;2483.350098;4460.629883;1191.5;9427.099609;11276.589844;792.3900150000001;6127.200195
2005-06-01;32111.0;371.519989;4178.25;2504.820068;4527.169922;1202.219971;9550.799805;11329.669922;795.580017;6210.310059
2005-06-02;32139.0;372.399994;4183.720215;2503.719971;4532.169922;1204.290039;9539.700195;11280.049805;789.969971;6228.740234000001
2005-06-03;31958.0;371.519989;4162.470215;2503.350098;4510.390136999999;1196.02002;9497.700195;11300.049805;787.580017;6210.27002
2005-06-06;31859.0;368.769989;4146.470215;2494.790039;4497.259765999999;1197.51001;9449.400391;11270.620117;787.580017;6186.049805
2005-06-07;32153.0;372.459991;4180.740234000001;2516.070068;4566.009765999999;1197.26001;9535.5;11217.450195;793.47998;6237.350098
2005-06-08;32192.0;372.799988;4171.350098;2506.459961;4557.290039;1194.670044;9487.700195;11281.030273;796.6400150000001;6236.689941
2005-06-09;32278.0;373.350006;4153.709961;2508.459961;4562.75;1200.930054;9494.0;11160.879883;794.599976;6244.689941
2005-06-10;32378.0;376.089996;4184.100098;2519.72998;4586.100098;1198.109985;9561.5;11304.230469;799.590027;6239.379883
2005-06-13;32603.0;377.450012;4203.490234000001;2530.340088;4599.209961;1200.819946;9579.200195;11311.509766;801.169983;6266.160156
2005-06-14;32663.0;377.690002;4197.740234000001;2528.100098;4591.689941;1203.910034;9614.400391;11335.919922;807.619995;6268.419922
2005-06-15;32622.0;375.820007;4184.359863000001;2515.350098;4548.419922;1206.579956;9563.599609;11415.879883;804.450012;6257.140136999999
2005-06-16;32732.0;378.950012;4185.149902;2529.0;4579.870117;1210.959961;9624.700195;11416.379883;809.799988;6257.77002
2005-06-17;32758.0;380.269989;4220.910156;2544.590088;4604.569824;1216.959961;9682.299805;11514.030273;808.619995;6263.470215
2005-06-20;32281.0;379.049988;4193.399902;2541.3798829999996;4586.859863000001;1216.099976;9659.5;11483.349609;811.849976;6236.790039
2005-06-21;32419.0;381.390015;4222.02002;2544.169922;4608.109863000001;1213.609985;9712.5;11488.740234;818.369995;6294.149902
2005-06-22;32385.0;382.359985;4229.549805;2553.429932;4619.600098;1213.880005;9726.200195;11547.280273;818.929993;6286.899902
2005-06-23;32390.0;383.200012;4240.180176;2561.699951;4627.47998;1200.72998;9769.599609;11576.75;828.22998;6273.689941
2005-06-24;32057.0;379.97000099999997;4199.870117;2544.340088;4566.47998;1191.569946;9677.400391;11537.030273;828.22998;6223.189941
2005-06-27;31734.0;377.269989;4157.680176;2526.290039;4523.819824;1190.689941;9622.900391;11414.280273;809.909973;6191.089844
2005-06-28;32038.0;381.839996;4194.330078;2547.860107;4557.459961;1201.569946;9682.5;11513.830078;814.280029;6208.560059
2005-06-29;32185.0;383.339996;4231.879883;2556.540039;4583.629883;1199.849976;9769.200195;11577.44043;821.26001;6261.240234000001
2005-06-30;32343.0;383.829987;4229.350098;2560.169922;4586.279785;1191.329956;9783.200195;11584.009766;822.48999;6253.080078
2005-07-01;32532.0;388.26001;4269.620117;2583.899902;4617.069824;1194.439941;9829.099609;11630.129883;830.150024;6279.779785
2005-07-04;32650.0;389.839996;4264.600098;2593.340088;4623.410156;;9815.0;11651.549805;832.340027;6283.569824
2005-07-05;32553.0;389.109985;4252.75;2594.530029;4603.649902;1204.98999;9807.400391;11616.700195;830.030029;6282.779785
2005-07-06;32731.0;390.329987;4279.950195;2615.659912;4615.490234000001;1194.939941;9832.5;11603.530273;831.580017;6308.990234000001
2005-07-07;32185.0;383.799988;4220.620117;2579.73999;4530.180176;1197.869995;9644.400391;11590.139648;818.539978;6250.569824
2005-07-08;32769.0;388.600006;4300.310059;2617.6298829999996;4597.970215;1211.859985;9793.200195;11565.990234;832.22998;6312.160156
2005-07-11;32985.0;390.929993;4321.560059;2624.76001;4663.379883;1219.439941;9876.299805;11674.790039;845.6300050000001;6357.209961
2005-07-12;32843.0;389.350006;4313.779785;2612.73999;4653.029785;1222.209961;9873.400391;11692.139648;843.8099980000001;6328.689941
2005-07-13;33124.0;391.910004;4343.620117;2625.320068;4679.890136999999;1223.290039;9937.799805;11659.839844;850.150024;6393.839844
2005-07-14;33316.0;393.72000099999997;4370.879883;2629.590088;4699.27002;1226.5;9965.200195;11764.259766;849.8900150000001;6449.180176
2005-07-15;33164.0;393.679993;4373.77002;2615.719971;4712.899902;1227.920044;9943.799805;11758.679688;848.4600220000001;6459.910156
2005-07-18;33228.0;392.880005;4363.470215;2607.070068;4719.569824;1221.130005;9961.0;;849.75;6464.529785
